,movieId,title,rating,userId
4,6497,Is Paris Burning? (Paris brûle-t-il?) (1966),,101526
5,8503,Ivanhoe (1952),,101526
6,32795,"Caretaker, The (1963)",,101526
7,33507,Agatha (1979),,101526
8,45578,"Earth Is a Sinful Song, The (Maa on syntinen laulu) (1973)",,101526
9,141273,A Hill in Korea (1956),,101526
0,2171,Next Stop Wonderland (1998),,199727
1,6593,Freaky Friday (2003),,199727
2,7450,Laws of Attraction (2004),,199727
3,54378,Man's Job (Miehen työ) (2007),,199727
4,72171,Black Dynamite (2009),,199727
5,80094,"Last Exorcism, The (2010)",,199727
6,80831,Let Me In (2010),,199727
7,83525,Outrage (Autoreiji) (2010),,199727
8,104361,Ain't Them Bodies Saints (2013),,199727
9,124352,I Was Monty's Double (1958),,199727
0,1399,Marvin's Room (1996),,147520
1,4446,Final Fantasy: The Spirits Within (2001),,147520
2,7450,Laws of Attraction (2004),,147520
3,8528,Dodgeball: A True Underdog Story (2004),,147520
4,42015,Casanova (2005),,147520
5,50942,"Wake Up, Ron Burgundy (2004)",,147520
6,54378,Man's Job (Miehen työ) (2007),,147520
7,59549,Shelter (2007),,147520
8,80094,"Last Exorcism, The (2010)",,147520
9,88235,"Guard, The (2011)",,147520
0,1248,Touch of Evil (1958),,112406
1,1399,Marvin's Room (1996),,112406
2,1584,Contact (1997),,112406
3,3087,Scrooged (1988),,112406
4,5343,"Temp, The (1993)",,112406
5,5433,Silver Bullet (Stephen King's Silver Bullet) (1985),,112406
6,6510,"Bodies, Rest & Motion (1993)",,112406
7,8772,"Spy Who Came in from the Cold, The (1965)",,112406
8,26399,Five Deadly Venoms (1978),,112406
9,106924,Zatoichi the Fugitive (Zatôichi kyôjô-tabi) (Zatôichi 4) (1963),,112406
0,158,Casper (1995),,142517
1,1213,Goodfellas (1990),4.0,142517
2,1840,He Got Game (1998),,142517
3,2360,"Celebration, The (Festen) (1998)",,142517
4,2594,Open Your Eyes (Abre los ojos) (1997),,142517
5,2701,Wild Wild West (1999),,142517
6,5308,Three Men and a Baby (1987),,142517
7,7387,Dawn of the Dead (1978),,142517
8,164230,Money Play$ (1998),,142517
0,2362,Glen or Glenda (1953),,184994
1,3674,For the Love of Benji (1977),,184994
2,26267,Get to Know Your Rabbit (1972),,184994
3,34148,"Beat That My Heart Skipped, The (battre mon coeur s'est arrêté, De) (2005)",,184994
4,55814,"Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le) (2007)",,184994
5,65142,Loft (2008),,184994
6,80430,Palermo Shooting (2008),,184994
7,138632,Tokyo Tribe (2014),,184994
8,160414,Mais Uma Vez Amor (2005),,184994
9,162226,E la chiamano estate (2012),,184994
0,70,From Dusk Till Dawn (1996),,144057
1,377,Speed (1994),,144057
2,1653,Gattaca (1997),,144057
3,3674,For the Love of Benji (1977),,144057
4,3717,Gone in 60 Seconds (2000),,144057
5,4027,"O Brother, Where Art Thou? (2000)",,144057
6,6628,Hot Dog... The Movie (1984),,144057
7,79213,Sade (2000),,144057
8,128245,Murder by Phone (1982),,144057
9,167572,Hercules: Zero to Hero (1999),,144057
0,1186,"Sex, Lies, and Videotape (1989)",,142088
1,1653,Gattaca (1997),,142088
2,2008,"This World, Then the Fireworks (1997)",,142088
3,2140,"Dark Crystal, The (1982)",,142088
4,2145,Pretty in Pink (1986),,142088
5,2171,Next Stop Wonderland (1998),,142088
6,3481,High Fidelity (2000),,142088
7,4934,"Exterminator, The (1980)",,142088
8,8772,"Spy Who Came in from the Cold, The (1965)",,142088
9,8875,"Come Back, Little Sheba (1952)",,142088
0,1248,Touch of Evil (1958),4.0,142133
1,2145,Pretty in Pink (1986),,142133
2,2167,Blade (1998),3.0,142133
3,8772,"Spy Who Came in from the Cold, The (1965)",,142133
4,34206,Crippled Masters (Tian can di que) (1979),,142133
5,84094,Beware of a Holy Whore (Warnung vor einer heiligen Nutte) (1971),,142133
0,2171,Next Stop Wonderland (1998),,159254
1,2971,All That Jazz (1979),,159254
2,8465,Johnny Eager (1942),,159254
3,25742,Destiny (a.k.a. Between Two Worlds) (Der müde Tod) (1921),,159254
4,26399,Five Deadly Venoms (1978),,159254
5,47927,"Sign of the Cross, The (1932)",,159254
6,70188,Wild River (1960),,159254
7,86368,Confessions of a Nazi Spy (1939),,159254
8,106924,Zatoichi the Fugitive (Zatôichi kyôjô-tabi) (Zatôichi 4) (1963),,159254
9,121911,Mine Own Executioner (1947),,159254
0,1248,Touch of Evil (1958),,142271
1,1609,187 (One Eight Seven) (1997),,142271
2,1983,Halloween II (1981),,142271
3,2008,"This World, Then the Fireworks (1997)",,142271
4,2167,Blade (1998),3.0,142271
5,3361,Bull Durham (1988),,142271
6,8772,"Spy Who Came in from the Cold, The (1965)",,142271
7,34206,Crippled Masters (Tian can di que) (1979),,142271
8,124352,I Was Monty's Double (1958),,142271
0,10,GoldenEye (1995),5.0,136783
1,2008,"This World, Then the Fireworks (1997)",,136783
2,2167,Blade (1998),,136783
3,2171,Next Stop Wonderland (1998),,136783
4,7618,Chaplin (1992),,136783
5,8772,"Spy Who Came in from the Cold, The (1965)",,136783
6,32211,Thriller: A Cruel Picture (Thriller - en grym film) (1974),,136783
7,124352,I Was Monty's Double (1958),,136783
8,137078,Stranger in My House (1999),,136783
0,916,Roman Holiday (1953),,142207
1,1059,William Shakespeare's Romeo + Juliet (1996),3.5,142207
2,2167,Blade (1998),,142207
3,6350,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),,142207
4,7618,Chaplin (1992),,142207
5,8012,Kikujiro (Kikujirô no natsu) (1999),,142207
0,344,Ace Ventura: Pet Detective (1994),,121034
1,1059,William Shakespeare's Romeo + Juliet (1996),,121034
2,1653,Gattaca (1997),,121034
3,2145,Pretty in Pink (1986),,121034
4,2167,Blade (1998),,121034
5,2171,Next Stop Wonderland (1998),,121034
6,2701,Wild Wild West (1999),,121034
7,4934,"Exterminator, The (1980)",,121034
0,1248,Touch of Evil (1958),,134054
1,2145,Pretty in Pink (1986),,134054
2,5021,Murder by Death (1976),,134054
3,5343,"Temp, The (1993)",,134054
4,5433,Silver Bullet (Stephen King's Silver Bullet) (1985),,134054
5,89114,"Last Frontier, The (1955)",,134054
6,106924,Zatoichi the Fugitive (Zatôichi kyôjô-tabi) (Zatôichi 4) (1963),,134054
7,136148,The Sign of Venus (1955),,134054
0,6281,Phone Booth (2002),,118509
1,7450,Laws of Attraction (2004),,118509
2,50942,"Wake Up, Ron Burgundy (2004)",,118509
3,54378,Man's Job (Miehen työ) (2007),,118509
4,85572,"New Daughter, The (2009)",,118509
5,101210,"Silence, The (Das letzte Schweigen) (2010)",,118509
6,162226,E la chiamano estate (2012),,118509
7,162414,Moonlight,,118509
0,162,Crumb (1994),,192730
1,168,First Knight (1995),,192730
2,218,Boys on the Side (1995),,192730
3,1369,I Can't Sleep (J'ai pas sommeil) (1994),,192730
4,2925,"Conformist, The (Conformista, Il) (1970)",,192730
5,4080,Baby Boom (1987),,192730
6,5433,Silver Bullet (Stephen King's Silver Bullet) (1985),,192730
7,5928,"Border, The (1982)",,192730
8,52199,Damnation (Karhozat) (1987),,192730
9,118778,The Baby Maker (1970),,192730
0,122,Boomerang (1992),,147669
1,552,"Three Musketeers, The (1993)",,147669
2,1037,"Lawnmower Man, The (1992)",,147669
3,1586,G.I. Jane (1997),,147669
4,4934,"Exterminator, The (1980)",,147669
5,5114,"Bad and the Beautiful, The (1952)",,147669
6,6497,Is Paris Burning? (Paris brûle-t-il?) (1966),,147669
7,7220,Micki + Maude (1984),,147669
8,8370,"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)",,147669
9,85403,"Little Night Music, A (1977)",,147669
0,2171,Next Stop Wonderland (1998),,129337
1,4695,Who'll Stop the Rain (1978),,129337
2,4934,"Exterminator, The (1980)",,129337
3,7759,Nostalghia (1983),,129337
4,8012,Kikujiro (Kikujirô no natsu) (1999),,129337
5,48647,"Last Bolshevik, The (Tombeau d'Alexandre, Le) (1993)",,129337
6,89285,Keep Walking (Camminacammina) (1983),,129337
7,101706,Lush Life (1993),,129337
8,146134,Jaane Bhi Do Yaaro (1983),,129337
9,161038,The Ordeal of Patty Hearst (1979),,129337
0,213,Burnt by the Sun (Utomlyonnye solntsem) (1994),,134111
1,599,"Wild Bunch, The (1969)",,134111
2,1120,"People vs. Larry Flynt, The (1996)",,134111
3,3546,What Ever Happened to Baby Jane? (1962),,134111
4,4005,"Living Daylights, The (1987)",,134111
5,4499,Dirty Rotten Scoundrels (1988),,134111
6,7618,Chaplin (1992),,134111
7,8772,"Spy Who Came in from the Cold, The (1965)",,134111
8,34464,Christmas in August (Palwolui Christmas) (1998),,134111
9,158651,The Truth (1960),,134111
0,1037,"Lawnmower Man, The (1992)",,134638
1,1059,William Shakespeare's Romeo + Juliet (1996),,134638
2,2167,Blade (1998),2.5,134638
3,2745,"Mission, The (1986)",,134638
4,4934,"Exterminator, The (1980)",,134638
5,5114,"Bad and the Beautiful, The (1952)",,134638
6,7220,Micki + Maude (1984),,134638
7,8668,Some Girl (1998),,134638
8,85403,"Little Night Music, A (1977)",,134638
0,5883,They (2002),,206697
1,33145,"Lot Like Love, A (2005)",,206697
2,53154,Zoo (2007),,206697
3,59549,Shelter (2007),,206697
4,59607,King Corn (2007),,206697
5,72764,Transylmania (2009),,206697
6,85572,"New Daughter, The (2009)",,206697
7,101210,"Silence, The (Das letzte Schweigen) (2010)",,206697
8,162226,E la chiamano estate (2012),,206697
9,164765,Love Finds You In Sugarcreek (2014),,206697
0,2167,Blade (1998),,133940
1,2997,Being John Malkovich (1999),,133940
2,4934,"Exterminator, The (1980)",,133940
3,26267,Get to Know Your Rabbit (1972),,133940
4,26280,Traffic (Trafic) (1971),,133940
5,27174,Without Evidence (1995),,133940
6,106672,Club Fed (1990),,133940
7,131974,Welcome to 18 (1986),,133940
8,164230,Money Play$ (1998),,133940
0,4953,"People That Time Forgot, The (1977)",,167279
1,7450,Laws of Attraction (2004),,167279
2,50942,"Wake Up, Ron Burgundy (2004)",,167279
3,59549,Shelter (2007),,167279
4,60887,Blindsight (2006),,167279
5,66330,Fireflies in the Garden (2008),,167279
6,72171,Black Dynamite (2009),,167279
7,80094,"Last Exorcism, The (2010)",,167279
8,101629,"King - Jari Litmanen, The (Kuningas Litmanen) (2012)",,167279
9,130574,Something Wicked (2014),,167279
0,1019,"20,000 Leagues Under the Sea (1954)",,193792
1,1267,"Manchurian Candidate, The (1962)",,193792
2,1609,187 (One Eight Seven) (1997),,193792
3,1840,He Got Game (1998),,193792
4,1957,Chariots of Fire (1981),,193792
5,2171,Next Stop Wonderland (1998),,193792
6,2971,All That Jazz (1979),,193792
7,7387,Dawn of the Dead (1978),,193792
8,7618,Chaplin (1992),,193792
9,8772,"Spy Who Came in from the Cold, The (1965)",,193792
0,10,GoldenEye (1995),,140214
1,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",3.5,140214
2,1248,Touch of Evil (1958),,140214
3,1682,"Truman Show, The (1998)",4.5,140214
4,2145,Pretty in Pink (1986),,140214
5,2167,Blade (1998),,140214
6,3967,Billy Elliot (2000),,140214
7,6242,Ringu (Ring) (1998),,140214
8,7419,After Hours (1985),,140214
9,86312,"Mouse on the Moon, The (1963)",,140214
0,7450,Laws of Attraction (2004),,145687
1,52872,Woman Is the Future of Man (Yeojaneun namjaui miraeda) (2004),,145687
2,60887,Blindsight (2006),,145687
3,66330,Fireflies in the Garden (2008),,145687
4,105044,"Unspeakable Act, The (2012)",,145687
5,121417,Scorned (1994),,145687
6,128233,St. Louis Blues (1958),,145687
7,130574,Something Wicked (2014),,145687
8,132995,Dear Lemon Lima (2009),,145687
9,136914,RISE (2014),,145687
0,8865,Sky Captain and the World of Tomorrow (2004),,204084
1,42725,Grandma's Boy (2006),,204084
2,45442,Poseidon (2006),,204084
3,54256,Hot Rod (2007),,204084
4,55442,Persepolis (2007),,204084
5,69436,Year One (2009),,204084
6,72393,"Fourth Kind, The (2009)",,204084
7,77427,"Human Centipede, The (First Sequence) (2009)",,204084
8,85401,Super (2010),,204084
9,139120,Mustang (2015),,204084
0,50,"Usual Suspects, The (1995)",,142720
1,110,Braveheart (1995),3.5,142720
2,364,"Lion King, The (1994)",,142720
3,1193,One Flew Over the Cuckoo's Nest (1975),,142720
4,1200,Aliens (1986),3.0,142720
5,1206,"Clockwork Orange, A (1971)",,142720
6,1219,Psycho (1960),,142720
7,1222,Full Metal Jacket (1987),,142720
8,1682,"Truman Show, The (1998)",3.5,142720
0,70,From Dusk Till Dawn (1996),,134491
1,158,Casper (1995),,134491
2,1059,William Shakespeare's Romeo + Juliet (1996),,134491
3,1653,Gattaca (1997),4.5,134491
4,2078,"Jungle Book, The (1967)",,134491
5,2232,Cube (1997),3.5,134491
6,2360,"Celebration, The (Festen) (1998)",,134491
7,3821,Nutty Professor II: The Klumps (2000),,134491
8,5308,Three Men and a Baby (1987),,134491
9,7387,Dawn of the Dead (1978),,134491
0,1399,Marvin's Room (1996),,133842
1,2167,Blade (1998),,133842
2,8669,Stay Hungry (1976),,133842
3,26280,Traffic (Trafic) (1971),,133842
4,27174,Without Evidence (1995),,133842
5,164230,Money Play$ (1998),,133842
6,171051,Without Evidence (1995),,133842
0,1302,Field of Dreams (1989),,134663
1,1748,Dark City (1998),,134663
2,2167,Blade (1998),,134663
3,2294,Antz (1998),,134663
4,2423,Christmas Vacation (National Lampoon's Christmas Vacation) (1989),,134663
5,3617,Road Trip (2000),,134663
6,3697,Predator 2 (1990),,134663
7,3703,"Road Warrior, The (Mad Max 2) (1981)",4.0,134663
8,3977,Charlie's Angels (2000),,134663
9,4128,"Lost Boys, The (1987)",,134663
0,163,Desperado (1995),,142744
1,1597,Conspiracy Theory (1997),,142744
2,1840,He Got Game (1998),,142744
3,2167,Blade (1998),,142744
4,2231,Rounders (1998),,142744
5,2971,All That Jazz (1979),,142744
6,7022,Battle Royale (Batoru rowaiaru) (2000),,142744
7,7387,Dawn of the Dead (1978),,142744
0,586,Home Alone (1990),3.0,130496
1,1193,One Flew Over the Cuckoo's Nest (1975),3.5,130496
2,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),3.5,130496
3,1206,"Clockwork Orange, A (1971)",5.0,130496
4,1213,Goodfellas (1990),4.5,130496
5,1954,Rocky (1976),4.5,130496
6,1961,Rain Man (1988),3.5,130496
7,2329,American History X (1998),5.0,130496
8,2542,"Lock, Stock & Two Smoking Barrels (1998)",,130496
0,2171,Next Stop Wonderland (1998),,169305
1,2890,Three Kings (1999),,169305
2,8772,"Spy Who Came in from the Cold, The (1965)",,169305
3,88697,SUBWAYStories: Tales from the Underground (1997),,169305
4,124352,I Was Monty's Double (1958),,169305
5,125970,Halloweentown (1998),,169305
6,137078,Stranger in My House (1999),,169305
7,140433,The Deerslayer (1957),,169305
8,166332,Hunted (1952),,169305
0,589,Terminator 2: Judgment Day (1991),,142754
1,5989,Catch Me If You Can (2002),,142754
2,6874,Kill Bill: Vol. 1 (2003),,142754
3,8961,"Incredibles, The (2004)",0.5,142754
4,40815,Harry Potter and the Goblet of Fire (2005),,142754
5,68319,X-Men Origins: Wolverine (2009),,142754
6,68358,Star Trek (2009),,142754
7,102445,Star Trek Into Darkness (2013),,142754
8,106916,American Hustle (2013),,142754
9,122912,Avengers: Infinity War - Part I (2018),,142754
0,1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),,135097
1,1200,Aliens (1986),,135097
2,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",,135097
3,1464,Lost Highway (1997),,135097
4,1840,He Got Game (1998),,135097
5,2890,Three Kings (1999),,135097
6,7022,Battle Royale (Batoru rowaiaru) (2000),,135097
7,7387,Dawn of the Dead (1978),,135097
8,69429,Home from the Hill (1960),,135097
9,152489,Don King: Only in America (1997),,135097
0,2,Jumanji (1995),,134220
1,2701,Wild Wild West (1999),3.5,134220
2,2714,"Wood, The (1999)",,134220
3,3674,For the Love of Benji (1977),,134220
4,3948,Meet the Parents (2000),,134220
5,4780,Liam (2000),,134220
6,6393,For Sale (À Vendre) (1998),,134220
7,26267,Get to Know Your Rabbit (1972),,134220
8,79213,Sade (2000),,134220
9,164230,Money Play$ (1998),,134220
0,303,"Quick and the Dead, The (1995)",,142635
1,670,"World of Apu, The (Apur Sansar) (1959)",,142635
2,1965,Repo Man (1984),,142635
3,3054,Pokémon: The First Movie (1998),,142635
4,4907,Across 110th Street (1972),,142635
5,5361,White Fang (1991),,142635
6,8494,"Cincinnati Kid, The (1965)",,142635
7,54964,Die! Die! My Darling! (Fanatic) (1965),,142635
8,85403,"Little Night Music, A (1977)",,142635
9,164230,Money Play$ (1998),,142635
0,916,Roman Holiday (1953),,108188
1,1840,He Got Game (1998),,108188
2,5421,"Dangerous Lives of Altar Boys, The (2002)",,108188
3,7387,Dawn of the Dead (1978),,108188
4,8367,"Time of the Wolf, The (Le temps du loup) (2003)",,108188
5,84794,What Is It? (2005),,108188
6,104361,Ain't Them Bodies Saints (2013),,108188
7,117418,Victor and the Secret of Crocodile Mansion (2012),,108188
8,134370,Still the Water (2014),,108188
9,160360,How to Let Go of the World and Love All the Things Climate Can't Change (2016),,108188
0,1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),,142745
1,1609,187 (One Eight Seven) (1997),,142745
2,2145,Pretty in Pink (1986),,142745
3,5940,Eating Raoul (1982),,142745
4,6131,Some Kind of Hero (1982),,142745
5,8772,"Spy Who Came in from the Cold, The (1965)",,142745
6,31195,Pippi in the South Seas (Pippi Långstrump på de sju haven) (1970),,142745
7,34464,Christmas in August (Palwolui Christmas) (1998),,142745
8,86312,"Mouse on the Moon, The (1963)",,142745
9,159181,"Johnny Cash: The Man, His World, His Music (1969)",,142745
0,50,"Usual Suspects, The (1995)",5.0,139325
1,70,From Dusk Till Dawn (1996),,139325
2,1200,Aliens (1986),,139325
3,1225,Amadeus (1984),,139325
4,1228,Raging Bull (1980),,139325
5,1552,Con Air (1997),,139325
6,1682,"Truman Show, The (1998)",4.0,139325
7,2167,Blade (1998),,139325
8,2329,American History X (1998),5.0,139325
9,2890,Three Kings (1999),,139325
0,5407,"Bûche, La (1999)",,143646
1,7388,"Brother Sun, Sister Moon (Fratello sole, sorella luna) (1972)",,143646
2,8772,"Spy Who Came in from the Cold, The (1965)",,143646
3,25835,Dead End (1937),,143646
4,64906,"Battle of Britain, The (Why We Fight, 4) (1943)",,143646
5,84111,"Nun, The (La religieuse) (1966)",,143646
6,100145,Palms (Ladoni) (1994),,143646
7,106672,Club Fed (1990),,143646
8,164230,Money Play$ (1998),,143646
0,2171,Next Stop Wonderland (1998),,191060
1,2369,Desperately Seeking Susan (1985),,191060
2,4934,"Exterminator, The (1980)",,191060
3,6156,Shanghai Knights (2003),,191060
4,6628,Hot Dog... The Movie (1984),,191060
5,8772,"Spy Who Came in from the Cold, The (1965)",,191060
6,8875,"Come Back, Little Sheba (1952)",,191060
7,96131,K-20: The Fiend with Twenty Faces (2008),,191060
8,106785,Homefront (2013),,191060
9,125067,Waltz of the Toreadors (1962),,191060
0,6155,How to Lose a Guy in 10 Days (2003),,142752
1,7293,50 First Dates (2004),,142752
2,30825,Meet the Fockers (2004),,142752
3,33646,"Longest Yard, The (2005)",,142752
4,55282,30 Days of Night (2007),,142752
5,63072,"Road, The (2009)",,142752
6,90866,Hugo (2011),,142752
7,96829,"Hunt, The (Jagten) (2012)",,142752
8,97306,Seven Psychopaths (2012),,142752
9,107069,Lone Survivor (2013),,142752
0,1609,187 (One Eight Seven) (1997),,146609
1,2167,Blade (1998),,146609
2,2404,Rambo III (1988),,146609
3,2890,Three Kings (1999),,146609
4,3210,Fast Times at Ridgemont High (1982),,146609
5,3361,Bull Durham (1988),,146609
6,8772,"Spy Who Came in from the Cold, The (1965)",,146609
7,25948,Yellow Sky (1948),,146609
8,26776,Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),,146609
0,1609,187 (One Eight Seven) (1997),,144775
1,1840,He Got Game (1998),,144775
2,7771,Zorba the Greek (Alexis Zorbas) (1964),,144775
3,39818,"Swindle, The (Bidone, Il) (1955)",,144775
4,84111,"Nun, The (La religieuse) (1966)",,144775
5,103249,World War Z (2013),,144775
6,106920,Her (2013),,144775
7,140367,Rikki-Tikki-Tavi (1975),,144775
8,140799,Truck Turner (1974),,144775
9,164230,Money Play$ (1998),,144775
0,5960,Bad Influence (1990),,125944
1,8772,"Spy Who Came in from the Cold, The (1965)",,125944
2,26399,Five Deadly Venoms (1978),,125944
3,31195,Pippi in the South Seas (Pippi Långstrump på de sju haven) (1970),,125944
4,32058,Class Action (1991),,125944
5,34206,Crippled Masters (Tian can di que) (1979),,125944
6,42556,7 Faces of Dr. Lao (1964),,125944
7,84094,Beware of a Holy Whore (Warnung vor einer heiligen Nutte) (1971),,125944
8,86312,"Mouse on the Moon, The (1963)",,125944
9,109450,News from Home (1977),,125944
0,8644,"I, Robot (2004)",,113269
1,60072,Wanted (2008),,113269
2,68319,X-Men Origins: Wolverine (2009),,113269
3,90405,In Time (2011),,113269
4,96610,Looper (2012),,113269
5,104913,Rush (2013),,113269
6,106916,American Hustle (2013),,113269
7,111113,Neighbors (2014),,113269
8,112171,"Equalizer, The (2014)",,113269
9,115569,Nightcrawler (2014),,113269
0,10,GoldenEye (1995),,136559
1,1193,One Flew Over the Cuckoo's Nest (1975),,136559
2,1207,To Kill a Mockingbird (1962),,136559
3,1213,Goodfellas (1990),4.0,136559
4,1228,Raging Bull (1980),,136559
5,1544,"Lost World: Jurassic Park, The (1997)",,136559
6,1997,"Exorcist, The (1973)",,136559
7,2194,"Untouchables, The (1987)",,136559
