,movieId,rating,title,userId
2,8772,,"Spy Who Came in from the Cold, The (1965)",112406
3,33443,,"Red Squirrel, The (Ardilla roja, La) (1993)",112406
4,32058,,Class Action (1991),112406
5,5960,,Bad Influence (1990),112406
6,42556,,7 Faces of Dr. Lao (1964),112406
7,5021,,Murder by Death (1976),112406
8,136148,,The Sign of Venus (1955),112406
9,162580,,Paradise (2015),112406
0,78247,,"Drawn Together Movie: The Movie!, The (2010)",142517
1,81362,,Whisper (2007),142517
2,52591,,"Contract, The (2006)",142517
3,110380,,Nitro Circus: The Movie (2012),142517
4,65259,,Involuntary (De ofrivilliga) (2008),142517
5,7147,4.0,Big Fish (2003),142517
6,115828,,Copenhagen (2014),142517
7,168136,,Sold (2016),142517
8,148757,,Beneath Loch Ness (2002),142517
9,114337,,Dead Within (2014),142517
0,33098,,Ike: Countdown to D-Day (2004),184994
1,78370,,How to Be (2008),184994
2,183037,,We Jam Econo: The Story of the Minutemen (2005),184994
3,99861,,Jesse Stone: Sea Change (2007),184994
4,104361,,Ain't Them Bodies Saints (2013),184994
5,34148,,"Beat That My Heart Skipped, The (battre mon coeur s'est arrêté, De) (2005)",184994
6,95595,,Bela Kiss: Prologue (2013),184994
7,84525,,Virus X (2010),184994
8,139813,,Sand Castles (2014),184994
9,130574,,Something Wicked (2014),184994
0,115703,,"The Hire: Star, The (2001)",144057
1,117368,,The Madagascar Penguins in a Christmas Caper (2005),144057
2,96432,,Lawless (2012),144057
3,5388,,Insomnia (2002),144057
4,83809,,Russell Peters: Outsourced (2006),144057
5,91243,,Shanghai (2010),144057
6,53953,,1408 (2007),144057
7,4370,,A.I. Artificial Intelligence (2001),144057
8,62374,,Body of Lies (2008),144057
9,64622,,"Reader, The (2008)",144057
0,98589,,Interceptor (1993),142088
1,106922,,New Tale of Zatoichi (Shin Zatôichi monogatari) (Zatôichi 3) (1963),142088
2,26137,,"Heroes of Telemark, The (1965) ",142088
3,93797,,"Incredible Hulk Returns, The (1988)",142088
4,8726,,"President's Analyst, The (1967)",142088
5,125323,,Shock Treatment (1973),142088
6,140916,,Malicious (1973),142088
7,64900,,"Chinese Ghost Story II, A (Sien nui yau wan II yan gaan do) (1990)",142088
8,26163,,Don't Look Back (1967),142088
9,74436,,Body Bags (1993),142088
0,163194,,Davy Crockett and the River Pirates (1956),142133
1,59935,,Flesh Gordon (1974),142133
2,110794,,Out of the Blue (2002),142133
3,8772,,"Spy Who Came in from the Cold, The (1965)",142133
4,41644,,Dog Nail Clipper (Koirankynnenleikkaaja) (2004),142133
5,33688,,Parineeta (2005),142133
6,149713,,Comforting Skin (2011),142133
7,80456,,Long Weekend (1978),142133
8,5021,,Murder by Death (1976),142133
9,38881,,Punishment Park (1971),142133
0,72171,,Black Dynamite (2009),159254
1,164765,,Love Finds You In Sugarcreek (2014),159254
2,6249,,Boat Trip (2003),159254
3,51847,,Right at Your Door (2006),159254
4,54378,,Man's Job (Miehen työ) (2007),159254
5,51187,,Kidulthood (2006),159254
6,108014,,River Queen (2005),159254
7,165613,,Whitney (2015),159254
8,80094,,"Last Exorcism, The (2010)",159254
9,152465,,Vipers (2008),159254
0,23,2.5,Assassins (1995),142271
1,164230,,Money Play$ (1998),142271
2,6294,2.0,Bulletproof Monk (2003),142271
3,1019,,"20,000 Leagues Under the Sea (1954)",142271
4,8644,3.5,"I, Robot (2004)",142271
5,141808,,A Summer to Remember (1960),142271
6,3210,,Fast Times at Ridgemont High (1982),142271
7,2167,3.0,Blade (1998),142271
8,69429,,Home from the Hill (1960),142271
9,100452,,"Devil's Tomb, The (2009)",142271
0,164981,4.0,Allied (2016),136783
1,163194,,Davy Crockett and the River Pirates (1956),136783
2,3210,,Fast Times at Ridgemont High (1982),136783
3,2171,,Next Stop Wonderland (1998),136783
4,106924,,Zatoichi the Fugitive (Zatôichi kyôjô-tabi) (Zatôichi 4) (1963),136783
5,70159,,Orphan (2009),136783
6,1597,,Conspiracy Theory (1997),136783
7,8772,,"Spy Who Came in from the Cold, The (1965)",136783
8,2971,,All That Jazz (1979),136783
9,5021,,Murder by Death (1976),136783
0,8644,3.5,"I, Robot (2004)",142207
1,45517,,Cars (2006),142207
2,88405,,Friends with Benefits (2011),142207
3,96588,,Pitch Perfect (2012),142207
4,4720,,"Others, The (2001)",142207
5,103249,,World War Z (2013),142207
6,88129,,Drive (2011),142207
7,86882,3.5,Midnight in Paris (2011),142207
8,6502,,28 Days Later (2002),142207
9,162606,,The Accountant (2016),142207
0,1585,,Love Serenade (1996),121034
1,2008,,"This World, Then the Fireworks (1997)",121034
2,3328,,Ghost Dog: The Way of the Samurai (1999),121034
3,150635,,The Battle Of The Villa Fiorita (1965),121034
4,8772,,"Spy Who Came in from the Cold, The (1965)",121034
5,6526,,Rhapsody in August (Hachi-gatsu no kyôshikyoku) (1991),121034
6,122,,Boomerang (1992),121034
7,519,,RoboCop 3 (1993),121034
0,163194,,Davy Crockett and the River Pirates (1956),134054
1,59935,,Flesh Gordon (1974),134054
2,8622,,Fahrenheit 9/11 (2004),134054
3,8772,,"Spy Who Came in from the Cold, The (1965)",134054
4,54378,,Man's Job (Miehen työ) (2007),134054
5,27158,,"Life of Aleksis Kivi, The (Aleksis Kiven elämä) (2002)",134054
6,80456,,Long Weekend (1978),134054
7,5021,,Murder by Death (1976),134054
8,38881,,Punishment Park (1971),134054
9,80094,,"Last Exorcism, The (2010)",134054
0,164765,,Love Finds You In Sugarcreek (2014),118509
1,7450,,Laws of Attraction (2004),118509
2,27754,,Foolproof (2003),118509
3,54378,,Man's Job (Miehen työ) (2007),118509
4,66240,,Dead Like Me: Life After Death (2009),118509
5,139813,,Sand Castles (2014),118509
6,68319,,X-Men Origins: Wolverine (2009),118509
7,80094,,"Last Exorcism, The (2010)",118509
8,66579,,"Lost, The (2009)",118509
0,128181,,Cody the Robosapien (2013),192730
1,5118,,"Heartbreak Kid, The (1972)",192730
2,175705,,Themroc (1973),192730
3,186,,Nine Months (1995),192730
4,136914,,RISE (2014),192730
5,160360,,How to Let Go of the World and Love All the Things Climate Can't Change (2016),192730
6,6421,,"Rare Breed, The (1966)",192730
7,65259,,Involuntary (De ofrivilliga) (2008),192730
8,7251,,Where the Day Takes You (1992),192730
9,218,,Boys on the Side (1995),192730
0,69278,,Land of the Lost (2009),147669
1,136598,,Vacation (2015),147669
2,31221,,Elektra (2005),147669
3,163384,,Ripoux 3 (2003),147669
4,107730,,By the People: The Election of Barack Obama (2009),147669
5,162662,,Hockney (2014),147669
6,141950,,6 Years (2015),147669
7,104361,,Ain't Them Bodies Saints (2013),147669
8,119693,,Elfie Hopkins: Cannibal Hunter (2012),147669
9,100452,,"Devil's Tomb, The (2009)",147669
0,6350,4.5,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),129337
1,73321,3.5,"Book of Eli, The (2010)",129337
2,128530,,Marilyn: The Untold Story (1980),129337
3,8772,,"Spy Who Came in from the Cold, The (1965)",129337
4,4754,3.5,"Wicker Man, The (1973)",129337
5,78000,,Deficit (Déficit) (2007),129337
6,1983,,Halloween II (1981),129337
7,94478,,Dark Shadows (2012),129337
8,2701,2.0,Wild Wild West (1999),129337
0,69278,,Land of the Lost (2009),134111
1,8644,3.5,"I, Robot (2004)",134111
2,1511,,"Chef in Love, A (Shekvarebuli kulinaris ataserti retsepti) (1997)",134111
3,125067,,Waltz of the Toreadors (1962),134111
4,2008,,"This World, Then the Fireworks (1997)",134111
5,8772,,"Spy Who Came in from the Cold, The (1965)",134111
6,44397,,"Hills Have Eyes, The (2006)",134111
7,122,,Boomerang (1992),134111
0,69278,,Land of the Lost (2009),134638
1,116485,,The Skinny (2012),134638
2,49284,,10 Items or Less (2006),134638
3,137054,,Daniels Daughter (2008),134638
4,6881,,Pieces of April (2003),134638
5,104361,,Ain't Them Bodies Saints (2013),134638
6,27904,,"Scanner Darkly, A (2006)",134638
7,142925,,A Christmas Horror Story (2015),134638
8,120857,,Bloodsuckers (2005),134638
9,122,,Boomerang (1992),134638
0,86244,,Easy Money (Snabba Cash) (2010),206697
1,44844,,Phat Girlz (2006),206697
2,54908,,Taxi 4 (2007),206697
3,78247,,"Drawn Together Movie: The Movie!, The (2010)",206697
4,99731,,Dabangg 2 (2012),206697
5,58303,,"Counterfeiters, The (Die Fälscher) (2007)",206697
6,65259,,Involuntary (De ofrivilliga) (2008),206697
7,4143,,Valentine (2001),206697
8,76189,,Growth (2009),206697
9,5528,,One Hour Photo (2002),206697
0,8370,,"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)",133940
1,52227,,"Darwin Awards, The (2006)",133940
2,132632,,The Pirate Fairy (2014),133940
3,105032,,Farah Goes Bang (2013),133940
4,6593,1.5,Freaky Friday (2003),133940
5,104361,,Ain't Them Bodies Saints (2013),133940
6,6544,,"Housekeeper, The (femme de ménage, Une) (2002)",133940
7,4881,,"Man Who Wasn't There, The (2001)",133940
8,118985,3.5,Big Eyes (2014),133940
9,111622,,Begin Again (2013),133940
0,8644,,"I, Robot (2004)",167279
1,2089,,"Rescuers Down Under, The (1990)",167279
2,164009,,Stolen Desire (1958),167279
3,166332,,Hunted (1952),167279
4,162662,,Hockney (2014),167279
5,99861,,Jesse Stone: Sea Change (2007),167279
6,104361,,Ain't Them Bodies Saints (2013),167279
7,71199,,Memories of Underdevelopment (Memorias del subdesarrollo) (1968),167279
8,3437,,Cool as Ice (1991),167279
9,84525,,Virus X (2010),167279
0,72171,,Black Dynamite (2009),193792
1,54908,,Taxi 4 (2007),193792
2,4776,,Training Day (2001),193792
3,8622,,Fahrenheit 9/11 (2004),193792
4,51847,,Right at Your Door (2006),193792
5,67799,,The Butterfly Effect 3: Revelations (2009),193792
6,51187,,Kidulthood (2006),193792
7,108014,,River Queen (2005),193792
8,80094,,"Last Exorcism, The (2010)",193792
9,152465,,Vipers (2008),193792
0,8644,4.0,"I, Robot (2004)",140214
1,82169,3.0,"Chronicles of Narnia: The Voyage of the Dawn Treader, The (2010)",140214
2,164765,,Love Finds You In Sugarcreek (2014),140214
3,6593,,Freaky Friday (2003),140214
4,6249,,Boat Trip (2003),140214
5,4844,,Bandits (2001),140214
6,2167,,Blade (1998),140214
7,93363,4.0,John Carter (2012),140214
8,111622,,Begin Again (2013),140214
0,60289,,Kit Kittredge: An American Girl (2008),145687
1,47472,,We Jam Econo,145687
2,183037,,We Jam Econo: The Story of the Minutemen (2005),145687
3,162662,,Hockney (2014),145687
4,67799,,The Butterfly Effect 3: Revelations (2009),145687
5,104361,,Ain't Them Bodies Saints (2013),145687
6,58879,,Shine a Light (2008),145687
7,109675,,"Pill, The (2011)",145687
8,84525,,Virus X (2010),145687
9,136930,,95ers: Time Runners (2013),145687
0,71518,,Whip It (2009),204084
1,99349,,Kevin Smith: Burn in Hell (2012),204084
2,42009,,Cheaper by the Dozen 2 (2005),204084
3,8799,,Little Black Book (2004),204084
4,88356,,"Smurfs, The (2011)",204084
5,133679,,The American Scream (2012),204084
6,99602,,Dakota Skye (2008),204084
7,91890,,"Iron Lady, The (2011)",204084
8,61253,,"Longshots, The (2008)",204084
9,102263,,Ju-on: White Ghost (2009),204084
0,51662,,300 (2007),142720
1,71535,,Zombieland (2009),142720
2,8644,3.5,"I, Robot (2004)",142720
3,79702,,Scott Pilgrim vs. the World (2010),142720
4,6593,,Freaky Friday (2003),142720
5,8529,3.0,"Terminal, The (2004)",142720
6,119145,5.0,Kingsman: The Secret Service (2015),142720
7,48394,,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",142720
8,164179,,Arrival (2016),142720
0,96610,,Looper (2012),134491
1,122920,,Captain America: Civil War (2016),134491
2,103042,2.0,Man of Steel (2013),134491
3,86332,2.5,Thor (2011),134491
4,8961,4.5,"Incredibles, The (2004)",134491
5,45722,,Pirates of the Caribbean: Dead Man's Chest (2006),134491
6,5618,4.5,Spirited Away (Sen to Chihiro no kamikakushi) (2001),134491
7,1206,4.5,"Clockwork Orange, A (1971)",134491
8,97306,,Seven Psychopaths (2012),134491
9,97921,4.0,Silver Linings Playbook (2012),134491
0,54286,,"Bourne Ultimatum, The (2007)",133842
1,8644,,"I, Robot (2004)",133842
2,137062,,Naruto Shippuden the Movie: Road to Ninja (2012),133842
3,165287,,The Swap (2016),133842
4,106916,4.0,American Hustle (2013),133842
5,142993,,The Club (2015),133842
6,146344,,Elämältä kaiken sain,133842
7,66240,,Dead Like Me: Life After Death (2009),133842
8,137210,,Salt of This Sea (2008),133842
9,32029,,Hostage (2005),133842
0,56174,,I Am Legend (2007),134663
1,51662,4.5,300 (2007),134663
2,54286,4.0,"Bourne Ultimatum, The (2007)",134663
3,8644,,"I, Robot (2004)",134663
4,2171,,Next Stop Wonderland (1998),134663
5,106916,,American Hustle (2013),134663
6,106924,,Zatoichi the Fugitive (Zatôichi kyôjô-tabi) (Zatôichi 4) (1963),134663
7,2167,,Blade (1998),134663
0,8644,,"I, Robot (2004)",142744
1,910,,Some Like It Hot (1959),142744
2,2171,,Next Stop Wonderland (1998),142744
3,3730,,"Conversation, The (1974)",142744
4,153084,,Love on the Ground (1984),142744
5,8772,,"Spy Who Came in from the Cold, The (1965)",142744
6,1059,,William Shakespeare's Romeo + Juliet (1996),142744
7,2167,,Blade (1998),142744
8,5021,,Murder by Death (1976),142744
9,6281,,Phone Booth (2002),142744
0,96610,,Looper (2012),130496
1,6365,,"Matrix Reloaded, The (2003)",130496
2,56174,,I Am Legend (2007),130496
3,1291,3.0,Indiana Jones and the Last Crusade (1989),130496
4,1206,5.0,"Clockwork Orange, A (1971)",130496
5,1203,5.0,12 Angry Men (1957),130496
6,110553,,The Amazing Spider-Man 2 (2014),130496
7,94864,3.0,Prometheus (2012),130496
0,167644,,He's a Dragon (2015),169305
1,154160,,Bodyguard (2011),169305
2,6831,,Nobody's Baby (2001),169305
3,99731,,Dabangg 2 (2012),169305
4,131722,,Boobs: An American Obsession (2010),169305
5,65259,,Involuntary (De ofrivilliga) (2008),169305
6,164901,,Heavenly Shift (2013),169305
7,147010,,Thou Gild'st the Even (2013),169305
8,54826,,Do You Like Hitchcock? (Ti piace Hitchcock?) (2005),169305
9,81164,,"Hole, The (2009)",169305
0,5445,,Minority Report (2002),142754
1,60072,,Wanted (2008),142754
2,6294,,Bulletproof Monk (2003),142754
3,6936,,Elf (2003),142754
4,122904,,Deadpool (2016),142754
5,2329,,American History X (1998),142754
6,44397,,"Hills Have Eyes, The (2006)",142754
7,27904,,"Scanner Darkly, A (2006)",142754
8,122886,,Star Wars: Episode VII - The Force Awakens (2015),142754
9,6281,,Phone Booth (2002),142754
0,23,,Assassins (1995),135097
1,42015,,Casanova (2005),135097
2,1019,,"20,000 Leagues Under the Sea (1954)",135097
3,79702,,Scott Pilgrim vs. the World (2010),135097
4,3210,,Fast Times at Ridgemont High (1982),135097
5,67744,,With Fire and Sword (Ogniem i mieczem) (1999),135097
6,6131,,Some Kind of Hero (1982),135097
7,34464,,Christmas in August (Palwolui Christmas) (1998),135097
8,52199,,Damnation (Karhozat) (1987),135097
9,1609,,187 (One Eight Seven) (1997),135097
0,114420,,When Eight Bells Toll (1971),134220
1,26794,,"Heroic Trio, The (Dung fong saam hap) (1993)",134220
2,141808,,A Summer to Remember (1960),134220
3,154830,,La Clé des Champs (2011),134220
4,117374,,Running from Crazy (2013),134220
5,8772,,"Spy Who Came in from the Cold, The (1965)",134220
6,87094,,Dreams (Kvinnodröm) (1955),134220
7,147010,,Thou Gild'st the Even (2013),134220
8,139517,,One Missed Call 2 (2005),134220
9,152332,,Hungry (2014),134220
0,1378,,Young Guns (1988),142635
1,3208,,Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) (1993),142635
2,26317,,Emmanuelle (1974),142635
3,6613,,"Day of the Dolphin, The (1973)",142635
4,164548,,Promise at Dawn (1970),142635
5,3707,,9 1/2 Weeks (Nine 1/2 Weeks) (1986),142635
6,6818,,Come and See (Idi i smotri) (1985),142635
7,1323,,Amityville 3-D (1983),142635
8,1944,,From Here to Eternity (1953),142635
9,27238,,Guest House Paradiso (1999),142635
0,164230,,Money Play$ (1998),108188
1,3461,,Lord of the Flies (1963),108188
2,26776,,Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),108188
3,6156,,Shanghai Knights (2003),108188
4,154126,,Culastrisce nobile veneziano (1976),108188
5,1059,,William Shakespeare's Romeo + Juliet (1996),108188
6,44397,,"Hills Have Eyes, The (2006)",108188
7,7387,,Dawn of the Dead (1978),108188
8,1840,,He Got Game (1998),108188
9,10,,GoldenEye (1995),108188
0,73017,,Sherlock Holmes (2009),142745
1,122926,,Untitled Spider-Man Reboot (2017),142745
2,136020,,Spectre (2015),142745
3,122906,,Black Panther (2017),142745
4,8529,,"Terminal, The (2004)",142745
5,6628,,Hot Dog... The Movie (1984),142745
6,79213,,Sade (2000),142745
7,46578,,Little Miss Sunshine (2006),142745
8,45499,3.0,X-Men: The Last Stand (2006),142745
9,164179,4.5,Arrival (2016),142745
0,73017,,Sherlock Holmes (2009),139325
1,122926,,Untitled Spider-Man Reboot (2017),139325
2,136020,,Spectre (2015),139325
3,122906,,Black Panther (2017),139325
4,111364,,Godzilla (2014),139325
5,8644,5.0,"I, Robot (2004)",139325
6,8529,5.0,"Terminal, The (2004)",139325
7,46578,,Little Miss Sunshine (2006),139325
8,45499,,X-Men: The Last Stand (2006),139325
9,164179,,Arrival (2016),139325
0,114420,,When Eight Bells Toll (1971),143646
1,96131,,K-20: The Fiend with Twenty Faces (2008),143646
2,141808,,A Summer to Remember (1960),143646
3,6628,,Hot Dog... The Movie (1984),143646
4,27754,,Foolproof (2003),143646
5,79213,,Sade (2000),143646
6,8772,,"Spy Who Came in from the Cold, The (1965)",143646
7,164179,,Arrival (2016),143646
8,66579,,"Lost, The (2009)",143646
9,2701,,Wild Wild West (1999),143646
0,73321,,"Book of Eli, The (2010)",191060
1,2093,,Return to Oz (1985),191060
2,1511,,"Chef in Love, A (Shekvarebuli kulinaris ataserti retsepti) (1997)",191060
3,125067,,Waltz of the Toreadors (1962),191060
4,2008,,"This World, Then the Fireworks (1997)",191060
5,8772,,"Spy Who Came in from the Cold, The (1965)",191060
6,94478,,Dark Shadows (2012),191060
7,122,,Boomerang (1992),191060
8,1037,,"Lawnmower Man, The (1992)",191060
9,6682,,Earth (1998),191060
0,91630,,Mission: Impossible - Ghost Protocol (2011),142752
1,6934,,"Matrix Revolutions, The (2003)",142752
2,59615,,Indiana Jones and the Kingdom of the Crystal Skull (2008),142752
3,133798,,Hot Pursuit (2015),142752
4,103335,,Despicable Me 2 (2013),142752
5,102123,,This Is the End (2013),142752
6,97306,,Seven Psychopaths (2012),142752
7,7147,,Big Fish (2003),142752
8,45499,,X-Men: The Last Stand (2006),142752
9,76189,,Growth (2009),142752
0,164981,,Allied (2016),146609
1,1019,,"20,000 Leagues Under the Sea (1954)",146609
2,3210,,Fast Times at Ridgemont High (1982),146609
3,106924,,Zatoichi the Fugitive (Zatôichi kyôjô-tabi) (Zatôichi 4) (1963),146609
4,70159,,Orphan (2009),146609
5,39818,,"Swindle, The (Bidone, Il) (1955)",146609
6,161,,Crimson Tide (1995),146609
7,2971,,All That Jazz (1979),146609
8,1840,,He Got Game (1998),146609
0,7011,,"Bullfighter, The (Matador) (1986)",144775
1,89819,,Punk in London (1977),144775
2,51847,,Right at Your Door (2006),144775
3,72899,,Blissfully Yours (Sud sanaeha) (2002),144775
4,54378,,Man's Job (Miehen työ) (2007),144775
5,108014,,River Queen (2005),144775
6,69429,,Home from the Hill (1960),144775
7,152465,,Vipers (2008),144775
8,151975,,Albela (2001),144775
9,168080,,Beck - Monstret (1998),144775
0,45074,,"Wild, The (2006)",125944
1,163194,,Davy Crockett and the River Pirates (1956),125944
2,2886,,"Adventures of Elmo in Grouchland, The (1999)",125944
3,98275,,"Octopus, The (Le poulpe) (1998)",125944
4,59935,,Flesh Gordon (1974),125944
5,6668,,"Road Home, The (Wo de fu qin mu qin) (1999)",125944
6,8772,,"Spy Who Came in from the Cold, The (1965)",125944
7,32058,,Class Action (1991),125944
8,5960,,Bad Influence (1990),125944
9,42556,,7 Faces of Dr. Lao (1964),125944
0,5872,,Die Another Day (2002),113269
1,60072,,Wanted (2008),113269
2,76093,,How to Train Your Dragon (2010),113269
3,8644,,"I, Robot (2004)",113269
4,49274,,Happy Feet (2006),113269
5,86911,,"Hangover Part II, The (2011)",113269
6,106916,,American Hustle (2013),113269
7,44397,,"Hills Have Eyes, The (2006)",113269
8,69757,,(500) Days of Summer (2009),113269
9,6281,,Phone Booth (2002),113269
0,103042,,Man of Steel (2013),136559
1,86332,,Thor (2011),136559
2,8961,,"Incredibles, The (2004)",136559
3,5816,,Harry Potter and the Chamber of Secrets (2002),136559
